Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Boston,MA,02118,1,2026-03-01,1275000.0,1275000.0,1275000.0,1275000.0,1187000.0,1164.874551971,47,67,redfin,12.4,database,15810.0,1317.5,975000.0,5837500.0,1805416.6666666667,12,increasing
Newton,MA,02461,1,2026-03-01,1251250.0,1251250.0,1251250.0,1251250.0,955000.0,509.417622862,2,2,redfin,9.69,database,12124.61,1010.38,1200000.0,2380000.0,1492002.1666666667,12,decreasing
Wayland,MA,01778,1,2026-03-01,1244000.0,1244000.0,1244000.0,1244000.0,1174000.0,449.741396641,38,5,redfin,14.83,database,18448.52,1537.38,695000.0,1244000.0,995083.3333333334,12,increasing
Boston,MA,02111,1,2026-03-01,1237500.0,1237500.0,1237500.0,1237500.0,1195000.0,1078.250154036,23,41,redfin,12.4,database,15345.0,1278.75,1005000.0,1237500.0,1131666.6666666667,12,increasing
Arlington,MA,02476,1,2026-03-01,1237000.0,1237000.0,1237000.0,1237000.0,985000.0,561.668360576,24,2,redfin,10.67,database,13198.79,1099.9,603950.0,1450000.0,1150495.8333333333,12,stable
Somerville,MA,02143,1,2026-03-01,1234250.0,1234250.0,1234250.0,1234250.0,1279000.0,499.499619532,6,8,redfin,10.98,database,13552.06,1129.34,802000.0,1450000.0,1052725.0,12,stable
Chestnut Hill,MA,02467,1,2026-03-01,1220000.0,1220000.0,1220000.0,1220000.0,1599000.0,560.394777323,4,1,redfin,9.69,database,11821.8,985.15,560000.0,2250000.0,1227637.5,12,increasing
Carlisle,MA,01741,1,2026-03-01,1210000.0,1210000.0,1210000.0,1210000.0,1249000.0,385.666476639,14,2,redfin,12.82,database,15512.2,1292.68,1038000.0,1605000.0,1364250.0,12,increasing
Brighton,MA,02135,1,2026-03-01,1200000.0,1200000.0,1200000.0,1200000.0,1530000.0,442.857142857,9,10,redfin,12.4,database,14880.0,1240.0,509000.0,1300000.0,875083.3333333334,12,increasing
Jamaica Plain,MA,02130,1,2026-03-01,1200000.0,1200000.0,1200000.0,1200000.0,1024500.0,702.070207021,11,3,redfin,12.4,database,14880.0,1240.0,672500.0,1725000.0,1182791.6666666667,12,decreasing
Boston,MA,02116,1,2026-03-01,1200000.0,1200000.0,1200000.0,1200000.0,1297000.0,1260.032102729,65,45,redfin,12.4,database,14880.0,1240.0,1158000.0,3650000.0,1918824.0,12,decreasing
Dorchester,MA,02124,1,2026-03-01,1192500.0,1192500.0,1192500.0,1192500.0,1172000.0,317.247770019,16,23,redfin,12.4,database,14787.0,1232.25,575000.0,1192500.0,764291.6666666666,12,increasing
Manchester-by-the-Sea,MA,01944,1,2026-03-01,1160000.0,1160000.0,1160000.0,1160000.0,979000.0,568.292682927,17,6,redfin,8.7,database,10092.0,841.0,699000.0,1536500.0,1037666.6666666666,12,decreasing
Essex,MA,01929,1,2026-03-01,1155000.0,1155000.0,1155000.0,1155000.0,1819500.0,588.985211627,1,1,redfin,13.04,database,15061.2,1255.1,650000.0,1189500.0,921208.3333333334,12,increasing
Needham,MA,02492,1,2026-03-01,1135000.0,1135000.0,1135000.0,1135000.0,2050000.0,547.515677762,3,1,redfin,10.83,database,12292.05,1024.34,499450.0,1602000.0,1160787.5,12,decreasing
Brookline,MA,02446,1,2026-03-01,1125000.0,1125000.0,1125000.0,1125000.0,1647000.0,800.854244527,61,35,redfin,10.24,database,11520.0,960.0,935000.0,3106250.0,1976062.5,12,increasing
Sherborn,MA,01770,1,2026-03-01,1125000.0,1125000.0,1125000.0,1125000.0,995000.0,429.061784897,15,3,redfin,15.66,database,17617.5,1468.12,769750.0,1400000.0,1113416.6666666667,12,increasing
Hopkinton,MA,01748,1,2026-03-01,1124500.0,1124500.0,1124500.0,1124500.0,1209000.0,448.48510151,2,3,redfin,14.1,database,15855.45,1321.29,782500.0,1124500.0,1009520.8333333334,12,stable
Marblehead,MA,01945,1,2026-03-01,1100000.0,1100000.0,1100000.0,1100000.0,972500.0,514.966205343,37,12,redfin,8.56,database,9416.0,784.67,500000.0,1150000.0,831041.6666666666,12,increasing
Bedford,MA,01730,1,2026-03-01,1030000.0,1030000.0,1030000.0,1030000.0,1025000.0,466.243938829,21,8,redfin,12.49,database,12864.7,1072.06,632500.0,1057500.0,921500.0,12,stable
Charlestown,MA,02129,1,2026-03-01,1020000.0,1020000.0,1020000.0,1020000.0,1009995.0,856.653340948,47,20,redfin,12.4,database,12648.0,1054.0,776250.0,1600000.0,1181250.0,12,increasing
Upton,MA,01568,1,2026-03-01,1004500.0,1004500.0,1004500.0,1004500.0,,305.292858869,2,1,redfin,13.08,database,13138.86,1094.9,464950.0,1004500.0,772641.6666666666,12,increasing
Boston,MA,02109,1,2026-03-01,995000.0,995000.0,995000.0,995000.0,850000.0,956.52586342,10,10,redfin,12.4,database,12338.0,1028.17,745000.0,3262500.0,1270312.5,12,decreasing
Auburndale,MA,02466,1,2026-03-01,987500.0,987500.0,987500.0,987500.0,839900.0,511.384126037,4,4,redfin,9.69,database,9568.88,797.41,835750.0,1630000.0,1308770.8333333333,12,decreasing
Lynnfield,MA,01940,1,2026-03-01,984000.0,984000.0,984000.0,984000.0,959499.5,426.466703123,36,11,redfin,11.46,database,11276.64,939.72,460000.0,1350000.0,960958.3333333334,12,decreasing
Cambridge,MA,02139,1,2026-03-01,980000.0,980000.0,980000.0,980000.0,874500.0,905.615348381,32,12,redfin,6.67,database,6536.6,544.72,900000.0,2340000.0,1591208.3333333333,12,decreasing
Boxford,MA,01921,1,2026-03-01,979000.0,979000.0,979000.0,979000.0,1015000.0,327.102803738,21,5,redfin,13.54,database,13255.66,1104.64,979000.0,1385000.0,1112277.2916666667,12,decreasing
Concord,MA,01742,1,2026-03-01,972500.0,972500.0,972500.0,972500.0,759000.0,650.553499054,2,3,redfin,13.05,database,12691.12,1057.59,685000.0,1742500.0,1248666.6666666667,12,decreasing
Byfield,MA,01922,1,2026-03-01,970000.0,970000.0,970000.0,970000.0,1050000.0,371.287128713,11,4,redfin,7.51,database,7284.7,607.06,891000.0,1020000.0,959333.3333333334,12,stable
Milton,MA,02186,1,2026-03-01,967500.0,967500.0,967500.0,967500.0,1295000.0,359.65095831,4,1,redfin,11.81,database,11426.18,952.18,735000.0,1495000.0,1046458.3333333334,12,stable
Avon,MA,02322,1,2026-03-01,967000.0,967000.0,967000.0,967000.0,550000.0,238.765432099,1,0,redfin,13.35,database,12909.45,1075.79,465000.0,967000.0,592708.3333333334,12,increasing
