Rank,Town,Primary Town Name,Alternate Town Name,Matched_Alias,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
21,Newton,Newton,Newtonville,,MA,02458,82.0,B+,100.0,57.2,80.2,92.6,82.0,76.6,90700.0,37.8,9.4,10.0,26.68,20,56,15,40,2026-04-02,15.35,22.83,22.83,22.83,885000.0,612,4,4,9.69,714.64,increasing,500000,900000,0
22,Needham Heights,Needham Heights,"Needham, Needham Hgts",Needham,MA,02494,81.4,B+,100.0,55.3,80.5,92.9,79.2,78.3,32931.0,37.7,7.6,10.0,25.57,23,27,14,2,2026-04-02,14.17,19.93,19.93,19.93,887500.0,647,2,1,12.1,894.9,decreasing,305000,1339000,-4
23,Natick,Natick,,,MA,01760,78.8,B,77.6,87.4,62.9,72.8,76.8,62.1,37316.0,60.0,17.4,10.0,36.73,31,64,21,40,2026-04-02,19.86,33.07,33.07,33.07,343500.0,468,8,9,12.17,348.37,decreasing,332000,747000,1
24,Framingham,Framingham,,,MA,01702,77.0,B,73.0,99.0,38.7,50.9,21.9,65.5,73361.0,60.0,29.0,10.0,38.11,32,60,22,40,2026-04-02,18.78,35.32,35.32,35.32,265000.0,313,9,11,11.83,261.25,decreasing,220000,396000,5
25,Norwood,Norwood,,,MA,02062,76.4,B,67.1,94.1,66.4,76.4,66.4,71.2,31764.0,60.0,24.1,10.0,39.87,32,67,24,40,2026-04-02,24.07,33.02,33.02,33.02,336000.0,379,5,3,9.82,274.96,increasing,242500,418500,15
26,Allston,Allston,Boston,Boston,MA,02134,76.0,B,96.9,78.6,0.0,9.4,36.9,5.7,673458.0,60.0,8.8,9.8,30.94,25,56,19,40,2026-04-02,18.91,27.73,27.73,27.73,450000.0,624,9,16,12.4,465.0,decreasing,399000,680000,-3
27,Sherborn,Sherborn,,,MA,01770,75.6,B,65.5,83.5,91.1,92.6,92.6,92.6,4485.0,58.3,17.5,7.7,40.35,33,72,22,40,2026-04-02,19.79,36.12,36.12,36.12,529000.0,467,1,1,15.66,690.34,stable,529000,529000,3
28,Hudson,Hudson,,,MA,01749,74.9,B-,60.5,96.9,71.6,77.9,73.8,76.3,20364.0,60.0,28.2,8.7,41.85,37,68,19,40,2026-04-02,20.37,39.27,39.27,39.27,240385.0,324,5,5,14.14,283.25,decreasing,240385,673089,16
29,Southborough,Southborough,,,MA,01772,74.9,B-,57.0,95.2,87.3,90.5,89.0,88.7,10569.0,56.9,29.8,8.6,42.9,34,75,26,40,2026-04-02,26.32,35.78,35.78,35.78,552500.0,303,4,2,14.36,661.16,increasing,518000,630000,20
30,Framingham,Framingham,,,MA,01701,73.9,B-,73.0,90.3,38.7,50.9,21.9,65.5,73361.0,60.0,20.3,10.0,38.11,32,60,22,40,2026-04-02,18.78,35.32,35.32,35.32,318000.0,429,9,5,11.83,313.5,stable,257000,800000,11
31,West Roxbury,West Roxbury,Boston,Boston,MA,02132,73.9,B-,87.9,85.5,0.0,9.4,36.9,5.7,673458.0,60.0,15.5,10.0,33.62,33,33,17,2,2026-04-02,17.33,27.58,27.58,27.58,445000.0,493,11,11,12.1,448.71,decreasing,389000,666500,-6
