Rank,Town,Primary Town Name,Alternate Town Name,Matched_Alias,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
22,Natick,Natick,,,MA,01760,72.0,B-,77.6,68.0,62.9,72.8,76.8,62.1,37316.0,37.7,20.3,10.0,36.73,31,64,21,40,2026-04-02,19.86,33.07,33.07,33.07,887000.0,429,6,6,12.17,899.57,decreasing,712000,1165000,0
23,Brighton,Brighton,Boston,Boston,MA,02135,71.8,B-,98.7,64.0,0.0,9.4,36.9,5.7,673458.0,45.0,9.2,9.8,30.4,24,59,16,40,2026-04-02,16.38,26.37,26.37,26.37,750000.0,616,3,4,12.4,775.0,decreasing,750000,1464000,-5
24,Northborough,Northborough,,,MA,01532,70.8,B-,46.3,97.1,91.1,97.9,95.8,86.5,15867.0,60.0,28.8,8.3,48.37,42,84,33,40,2026-04-02,33.78,44.07,44.07,44.07,386500.0,316,2,1,14.82,477.33,decreasing,330000,605000,22
25,Walpole,Walpole,,,MA,02081,69.1,C+,49.9,96.8,68.6,78.5,76.0,68.8,26391.0,58.9,28.1,9.8,45.1,37,74,26,40,2026-04-02,26.45,38.28,38.28,38.28,517750.0,326,6,2,12.45,537.17,stable,490000,735000,-4
26,South Easton,South Easton,,,MA,02375,68.0,C+,45.6,100.0,,,,,,60.0,30.0,10.0,48.98,48,49,36,2,2026-04-02,36.91,42.23,42.23,42.23,400000.0,260,9,3,12.1,403.33,increasing,357450,410000,-1
27,Southborough,Southborough,,,MA,01772,67.5,C+,57.0,74.1,87.3,90.5,89.0,88.7,10569.0,41.3,24.1,8.6,42.9,34,75,26,40,2026-04-02,26.32,35.78,35.78,35.78,825000.0,378,1,0,14.36,987.25,increasing,690000,850000,31
28,West Roxbury,West Roxbury,Boston,Boston,MA,02132,67.2,C+,87.9,66.5,0.0,9.4,36.9,5.7,673458.0,41.9,14.5,10.0,33.62,33,33,17,2,2026-04-02,17.33,27.58,27.58,27.58,805000.0,509,3,1,12.1,811.71,increasing,550000,1250000,-5
29,Everett,Everett,,,MA,02149,67.1,C+,70.0,72.8,44.2,56.9,48.9,53.1,51825.0,50.8,12.3,9.7,39.0,30,73,20,40,2026-04-02,20.37,32.85,32.85,32.85,653500.0,554,2,1,12.62,687.26,stable,591500,715000,4
30,Marlborough,Marlborough,,,MA,01752,67.1,C+,55.0,96.1,39.5,36.8,55.7,57.2,42169.0,56.6,29.5,10.0,43.51,37,74,28,40,2026-04-02,21.98,39.8,39.8,39.8,557000.0,307,2,1,10.54,489.23,increasing,450000,557000,4
31,South Weymouth,South Weymouth,"S Weymouth, Weymouth",Weymouth,MA,02190,66.7,C+,45.0,100.0,61.2,64.5,64.3,72.0,60159.0,60.0,30.0,10.0,49.46,48,50,35,2,2026-04-02,35.09,41.9,41.9,41.9,418000.0,251,1,2,12.1,421.48,decreasing,400000,485000,8
32,Randolph,Randolph,,,MA,02368,66.5,C+,48.1,97.3,56.0,65.4,68.2,59.3,35114.0,57.6,29.7,10.0,46.75,35,80,29,40,2026-04-02,29.75,36.82,36.82,36.82,540000.0,304,3,4,11.58,521.1,increasing,415000,583500,11
33,Medway,Medway,,,MA,02053,66.2,C+,39.7,95.3,86.4,86.7,88.0,90.6,13836.0,57.3,29.2,8.8,54.26,47,85,31,40,2026-04-02,31.65,49.03,49.03,49.03,545000.0,310,3,2,14.0,635.83,decreasing,440000,725000,4
34,Mansfield,Mansfield,,,MA,02048,66.1,C+,43.3,99.4,64.3,79.2,75.1,60.4,24077.0,60.0,30.0,9.4,51.0,46,55,38,2,2026-04-02,38.72,40.87,40.87,40.87,468000.0,293,8,2,13.09,510.51,decreasing,420000,500000,7
35,Sharon,Sharon,,,MA,02067,66.0,C+,48.8,80.3,90.0,93.8,89.3,91.1,18762.0,45.1,28.3,6.8,46.11,37,75,30,40,2026-04-02,30.34,37.18,37.18,37.18,748000.0,322,2,2,17.15,1069.02,decreasing,748000,1450000,-9
36,Upton,Upton,,,MA,01568,65.9,C+,41.6,91.0,88.5,92.1,90.2,89.2,8475.0,53.9,27.7,9.4,52.54,42,87,36,40,2026-04-02,36.42,44.25,44.25,44.25,601100.0,331,2,1,13.08,655.2,stable,464950,750430,-5
37,Hopkinton,Hopkinton,,,MA,01748,65.7,C+,48.5,81.9,85.4,85.8,90.8,88.0,19971.0,48.6,24.6,8.7,46.32,36,82,32,40,2026-04-02,32.62,38.27,38.27,38.27,690000.0,372,5,5,14.1,810.75,increasing,610000,985000,14
