Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Medford,MA,02155,1,2026-04-01,922500.0,922500.0,922500.0,922500.0,908000.0,471,40,14,redfin,8.63,database,7961.18,663.43,865000,940000,913779,12,increasing
Norfolk,MA,02056,1,2026-04-01,920010.0,920010.0,920010.0,920010.0,862500.0,334,20,12,redfin,14.87,database,13680.55,1140.05,770000,930020,863085,12,increasing
Westwood,MA,02090,1,2026-04-01,900000.0,900000.0,900000.0,900000.0,1097500.0,566,15,15,redfin,12.87,database,11583.0,965.25,900000,1416250,1214041,12,decreasing
Berlin,MA,01503,1,2026-04-01,896750.0,896750.0,896750.0,896750.0,1275000.0,305,8,1,redfin,14.06,database,12608.3,1050.69,702320,1150000,944636,12,decreasing
Andover,MA,01845,1,2026-04-01,882000.0,882000.0,882000.0,882000.0,894500.0,358,28,13,redfin,12.31,database,10857.42,904.78,744500,950000,908904,12,increasing
Melrose,MA,02176,1,2026-04-01,880000.0,880000.0,880000.0,880000.0,897000.0,461,33,11,redfin,11.47,database,10093.6,841.13,850000,1045500,957875,12,stable
Hopkinton,MA,01748,1,2026-04-01,875000.0,875000.0,875000.0,875000.0,2450000.0,336,15,17,redfin,14.1,database,12337.5,1028.12,850000,1130000,1006354,12,decreasing
Marblehead,MA,01945,1,2026-04-01,865500.0,865500.0,865500.0,865500.0,1115000.0,529,30,10,redfin,8.56,database,7408.68,617.39,847500,1150000,985509,12,stable
Canton,MA,02021,1,2026-04-01,860000.0,860000.0,860000.0,860000.0,859450.0,418,19,11,redfin,9.75,database,8385.0,698.75,765000,882500,826041,12,increasing
Dedham,MA,02026,1,2026-04-01,850000.0,850000.0,850000.0,850000.0,715000.0,445,35,16,redfin,12.3,database,10455.0,871.25,770000,860000,804708,12,increasing
Wakefield,MA,01880,1,2026-04-01,849000.0,849000.0,849000.0,849000.0,792450.0,439,41,5,redfin,11.74,database,9967.26,830.6,780000,883000,841662,12,increasing
Ipswich,MA,01938,1,2026-04-01,848500.0,848500.0,848500.0,848500.0,995000.0,372,18,12,redfin,10.78,database,9146.83,762.24,795000,972500,904458,12,decreasing
Burlington,MA,01803,1,2026-04-01,844500.0,844500.0,844500.0,844500.0,825000.0,416,26,15,redfin,8.69,database,7338.7,611.56,785000,925000,857583,12,decreasing
Westford,MA,01886,1,2026-04-01,840000.0,840000.0,840000.0,840000.0,949500.0,394,35,17,redfin,13.11,database,11012.4,917.7,840000,1084000,985318,12,decreasing
Watertown,MA,02472,1,2026-04-01,837500.0,837500.0,837500.0,837500.0,995000.0,472,14,2,redfin,12.2,database,10217.5,851.46,837500,1126013,1007667,12,decreasing
