Town,State,Zip,Distance,Total_Runs,Last_Run_Date,Min_Time,Max_Time,Average_Time
Hanscom AFB,MA,01731,1.66,1,2026-04-01,5.45,5.45,5.45
Lexington,MA,02420,3.62,1,2026-04-01,9.47,9.47,9.47
Bedford,MA,01730,3.72,1,2026-04-01,9.55,9.55,9.55
Lincoln,MA,01773,5.39,1,2026-04-01,12.22,12.22,12.22
Concord,MA,01742,6.31,1,2026-04-01,12.53,12.53,12.53
Waltham,MA,02451,6.34,1,2026-04-01,12.65,12.65,12.65
Belmont,MA,02478,8.9,1,2026-04-01,17.28,17.28,17.28
Weston,MA,02493,9.21,1,2026-04-01,15.53,15.53,15.53
Auburndale,MA,02466,10.4,1,2026-04-01,17.08,17.08,17.08
Watertown,MA,02472,10.61,1,2026-04-01,24.07,24.07,24.07
Newton Lower Falls,MA,02462,11.17,1,2026-04-01,16.17,16.17,16.17
Cambridge,MA,02138,11.42,1,2026-04-01,20.6,20.6,20.6
Waban,MA,02468,12.04,1,2026-04-01,18.63,18.63,18.63
Wayland,MA,01778,12.49,1,2026-04-01,21.7,21.7,21.7
Somerville,MA,02143,12.6,1,2026-04-01,30.18,30.18,30.18
Wellesley Hills,MA,02481,12.87,1,2026-04-01,21.13,21.13,21.13
Newton Upper Falls,MA,02464,12.99,1,2026-04-01,19.45,19.45,19.45
West Newton,MA,02465,13.35,1,2026-04-01,21.7,21.7,21.7
Sudbury,MA,01776,13.65,1,2026-04-01,26.32,26.32,26.32
Newton Highlands,MA,02461,13.91,1,2026-04-01,21.92,21.92,21.92
Newtonville,MA,02460,14.03,1,2026-04-01,24.38,24.38,24.38
Needham Heights,MA,02494,14.17,1,2026-04-01,19.93,19.93,19.93
Wellesley,MA,02482,14.49,1,2026-04-01,27.15,27.15,27.15
Newton,MA,02458,15.35,1,2026-04-01,22.83,22.83,22.83
Medford,MA,02155,15.6,1,2026-04-01,21.03,21.03,21.03
Newton Center,MA,02459,15.88,1,2026-04-01,24.42,24.42,24.42
Needham,MA,02492,16.13,1,2026-04-01,26.37,26.37,26.37
Chestnut Hill,MA,02467,16.21,1,2026-04-01,25.25,25.25,25.25
Brighton,MA,02135,16.38,1,2026-04-01,26.37,26.37,26.37
Roxbury Crossing,MA,02120,16.89,1,2026-04-01,34.88,34.88,34.88
West Roxbury,MA,02132,17.33,1,2026-04-01,27.58,27.58,27.58
Dover,MA,02030,17.59,1,2026-04-01,29.93,29.93,29.93
Brookline,MA,02445,17.6,1,2026-04-01,28.38,28.38,28.38
Dedham,MA,02026,17.95,1,2026-04-01,23.57,23.57,23.57
Framingham,MA,01701,18.78,1,2026-04-01,35.32,35.32,35.32
Allston,MA,02134,18.91,1,2026-04-01,27.73,27.73,27.73
Charlestown,MA,02129,19.47,1,2026-04-01,27.7,27.7,27.7
Jamaica Plain,MA,02130,19.56,1,2026-04-01,32.08,32.08,32.08
Roslindale,MA,02131,19.66,1,2026-04-01,34.85,34.85,34.85
Sherborn,MA,01770,19.79,1,2026-04-01,36.12,36.12,36.12
Natick,MA,01760,19.86,1,2026-04-01,33.07,33.07,33.07
Hudson,MA,01749,20.37,1,2026-04-01,39.27,39.27,39.27
Everett,MA,02149,20.37,1,2026-04-01,32.85,32.85,32.85
Westwood,MA,02090,20.79,1,2026-04-01,28.23,28.23,28.23
Boston,MA,02108,21.54,1,2026-04-01,28.82,28.82,28.82
Marlborough,MA,01752,21.98,1,2026-04-01,39.8,39.8,39.8
Dorchester,MA,02121,22.1,1,2026-04-01,39.5,39.5,39.5
Chelsea,MA,02150,22.42,1,2026-04-01,34.92,34.92,34.92
East Boston,MA,02128,22.98,1,2026-04-01,30.95,30.95,30.95
South Boston,MA,02127,23.28,1,2026-04-01,33.17,33.17,33.17
Hyde Park,MA,02136,23.54,1,2026-04-01,33.45,33.45,33.45
Norwood,MA,02062,24.07,1,2026-04-01,33.02,33.02,33.02
Fayville,MA,01745,24.38,1,2026-04-01,30.78,30.78,30.78
Roxbury,MA,02119,24.42,1,2026-04-01,37.68,37.68,37.68
Holliston,MA,01746,25.13,1,2026-04-01,46.87,46.87,46.87
Canton,MA,02021,25.39,1,2026-04-01,31.28,31.28,31.28
Medfield,MA,02052,25.46,1,2026-04-01,35.73,35.73,35.73
Revere,MA,02151,25.71,1,2026-04-01,35.62,35.62,35.62
Ashland,MA,01721,26.28,1,2026-04-01,35.52,35.52,35.52
Southborough,MA,01772,26.32,1,2026-04-01,35.78,35.78,35.78
Walpole,MA,02081,26.45,1,2026-04-01,38.28,38.28,38.28
Winthrop,MA,02152,26.62,1,2026-04-01,41.22,41.22,41.22
Milton,MA,02186,26.82,1,2026-04-01,34.37,34.37,34.37
Dorchester Center,MA,02124,27.16,1,2026-04-01,41.35,41.35,41.35
Mattapan,MA,02126,28.33,1,2026-04-01,40.7,40.7,40.7
East Walpole,MA,02032,28.47,1,2026-04-01,34.12,34.12,34.12
Berlin,MA,01503,28.61,1,2026-04-01,37.9,37.9,37.9
Stoughton,MA,02072,29.32,1,2026-04-01,41.12,41.12,41.12
Millis,MA,02054,29.39,1,2026-04-01,45.9,45.9,45.9
Randolph,MA,02368,29.75,1,2026-04-01,36.82,36.82,36.82
Sharon,MA,02067,30.34,1,2026-04-01,37.18,37.18,37.18
Braintree,MA,02184,30.51,1,2026-04-01,39.07,39.07,39.07
Norfolk,MA,02056,30.94,1,2026-04-01,46.63,46.63,46.63
Quincy,MA,02169,31.08,1,2026-04-01,39.58,39.58,39.58
Avon,MA,02322,31.51,1,2026-04-01,36.65,36.65,36.65
Medway,MA,02053,31.65,1,2026-04-01,49.03,49.03,49.03
South Walpole,MA,02071,32.49,1,2026-04-01,38.6,38.6,38.6
Westborough,MA,01581,32.56,1,2026-04-01,40.15,40.15,40.15
Hopkinton,MA,01748,32.62,1,2026-04-01,38.27,38.27,38.27
Northborough,MA,01532,33.78,1,2026-04-01,44.07,44.07,44.07
Weymouth,MA,02188,33.94,1,2026-04-01,38.85,38.85,38.85
