Town,State,Zip,Distance,Total_Runs,Last_Run_Date,Min_Time,Max_Time,Average_Time
Middleton,MA,01949,22,9,2026-02-16,49,50,49.88
Milford,MA,01757,30,9,2026-02-16,66,66,66.63
Millis,MA,02054,25,9,2026-02-16,55,57,55.91
Milton,MA,02186,24,9,2026-02-16,65,66,66.39
Nahant,MA,01908,24,9,2026-02-16,60,62,61.03
Nashua,NH,03060,24,9,2026-02-16,53,54,53.79
Natick,MA,01760,16,9,2026-02-16,38,39,38.84
Needham,MA,02492,17,9,2026-02-16,40,42,41.36
Newbury,MA,01951,38,9,2026-02-16,75,77,76.73
Newton,MA,02458,10,9,2026-02-16,30,31,31.03
Newton,NH,03858,36,9,2026-02-16,74,76,74.86
Norfolk,MA,02056,29,9,2026-02-16,62,62,62.33
North Andover,MA,01845,23,9,2026-02-16,47,48,47.8
North Easton,MA,02356,34,9,2026-02-16,78,80,79.61
Northborough,MA,01532,25,9,2026-02-16,56,57,56.79
Northbridge,MA,01534,35,9,2026-02-16,72,72,72.53
Norwell,MA,02061,37,9,2026-02-16,101,103,102.7
Norwood,MA,02062,25,9,2026-02-16,59,60,59.89
Peabody,MA,01960,21,9,2026-02-16,53,54,53.84
Pelham,NH,03076,21,9,2026-02-16,49,51,50.7
Pepperell,MA,01463,26,9,2026-02-16,51,52,51.84
Plainville,MA,02762,39,9,2026-02-16,78,79,79.26
Plaistow,NH,03865,34,9,2026-02-16,70,72,71.52
Princeton,MA,01541,37,9,2026-02-16,69,72,70.41
Quincy,MA,02169,25,9,2026-02-16,75,77,76.32
Randolph,MA,02368,30,9,2026-02-16,79,80,80.25
Reading,MA,01867,15,9,2026-02-16,34,34,34.47
Revere,MA,02151,17,9,2026-02-16,51,52,51.85
Rockland,MA,02370,37,9,2026-02-16,96,97,96.83
Roslindale,MA,02131,18,9,2026-02-16,52,53,52.99
Rowley,MA,01969,33,9,2026-02-16,69,70,70.54
Roxbury,MA,02119,16,9,2026-02-16,51,54,53.74
Salem,MA,01970,22,9,2026-02-16,62,63,62.71
Salem,NH,03079,28,9,2026-02-16,61,65,63.24
Sandown,NH,03873,41,9,2026-02-16,82,83,83.02
Saugus,MA,01906,15,9,2026-02-16,42,42,42.71
Scituate,MA,02066,39,9,2026-02-16,104,106,105.47
Sharon,MA,02067,34,9,2026-02-16,71,72,72.3
Sherborn,MA,01770,19,9,2026-02-16,43,43,43.51
Shirley,MA,01464,25,9,2026-02-16,48,49,48.89
Shrewsbury,MA,01545,33,9,2026-02-16,64,65,64.47
Somerset,MA,02726,60,9,2026-02-16,116,117,117.29
Somerville,MA,02143,12,9,2026-02-16,37,38,38.19
South Hamilton,MA,01982,29,9,2026-02-16,64,66,65.98
Southborough,MA,01772,22,9,2026-02-16,47,49,48.37
Sterling,MA,01564,30,9,2026-02-16,57,60,58.45
Stoneham,MA,02180,11,9,2026-02-16,29,29,29.6
Stoughton,MA,02072,29,9,2026-02-16,74,75,75.05
Stow,MA,01775,15,9,2026-02-16,31,32,31.51
Sudbury,MA,01776,12,9,2026-02-16,27,27,27.53
Swampscott,MA,01907,24,9,2026-02-16,62,63,63.16
Tewksbury,MA,01876,13,9,2026-02-16,30,31,31.12
Topsfield,MA,01983,26,9,2026-02-16,56,57,57.29
Townsend,MA,01469,29,9,2026-02-16,55,56,56.05
Tyngsboro,MA,01879,18,9,2026-02-16,39,39,39.49
Upton,MA,01568,32,9,2026-02-16,67,68,67.67
Waban,MA,02468,11,9,2026-02-16,33,33,33.47
Wakefield,MA,01880,13,9,2026-02-16,34,35,34.5
Walpole,MA,02081,29,9,2026-02-16,60,61,60.79
Waltham,MA,02451,5,9,2026-02-16,14,17,15.39
Watertown,MA,02472,9,9,2026-02-16,25,25,25.77
Wayland,MA,01778,10,9,2026-02-16,24,24,24.21
Wellesley,MA,02482,15,9,2026-02-16,36,37,36.57
Wenham,MA,01984,27,9,2026-02-16,61,62,62.23
West Bridgewater,MA,02379,39,9,2026-02-16,94,95,95.23
Westborough,MA,01581,28,9,2026-02-16,57,57,57.6
Westford,MA,01886,15,9,2026-02-16,33,34,33.68
Weston,MA,02493,9,9,2026-02-16,22,23,22.77
Westwood,MA,02090,22,9,2026-02-16,51,52,51.75
Weymouth,MA,02188,28,9,2026-02-16,85,87,86.59
Whitinsville,MA,01588,38,9,2026-02-16,78,80,79.12
Whitman,MA,02382,38,9,2026-02-16,97,98,98.07
Wilmington,MA,01887,13,9,2026-02-16,29,30,29.89
Winchester,MA,01890,7,9,2026-02-16,19,19,19.47
Windham,NH,03087,26,9,2026-02-16,57,59,58.68
Winthrop,MA,02152,20,9,2026-02-16,55,57,56.35
Woburn,MA,01801,9,9,2026-02-16,22,23,23.11
Wrentham,MA,02093,34,9,2026-02-16,69,69,69.66
