Town,State,Tax_Rate_Per_1000,Fiscal_Year,Last_Updated ,Comments
Topsfield,MA,15.66,2026,2/19/2026,
Townsend,MA,13.75,2026,2/19/2026,
Truro,MA,6.17,2026,2/19/2026,
Tyngsborough,MA,12.99,2026,2/19/2026,
Tyringham,MA,6.63,2026,2/19/2026,
Upton,MA,13.08,2026,2/19/2026,
Uxbridge,MA,12.68,2026,2/19/2026,
Wakefield,MA,11.74,2026,2/19/2026,
Wales,MA,14.13,2026,2/19/2026,
Walpole,MA,12.45,2026,2/19/2026,
Waltham,MA,10.32,2026,2/19/2026,
Ware,MA,15.06,2026,2/19/2026,
Wareham,MA,8.56,2026,2/19/2026,
Warren,MA,14.74,2026,2/19/2026,
Warwick,MA,16.54,2026,2/19/2026,
Washington,MA,13.82,2026,2/19/2026,
Watertown,MA,12.2,2026,2/19/2026,
Wayland,MA,14.83,2026,2/19/2026,
Webster,MA,11.92,2026,2/19/2026,
Wellesley,MA,10.17,2026,2/19/2026,
Wellfleet,MA,7.1,2026,2/19/2026,
Wendell,MA,20.95,2026,2/19/2026,
Wenham,MA,15.99,2026,2/19/2026,
West Boylston,MA,14.53,2026,2/19/2026,
West Bridgewater,MA,13.61,2026,2/19/2026,
West Brookfield,MA,10.75,2026,2/19/2026,
West Newbury,MA,10.15,2026,2/19/2026,
West Springfield,MA,14.02,2026,2/19/2026,
West Stockbridge,MA,10.34,2026,2/19/2026,
West Tisbury,MA,5.21,2026,2/19/2026,
Westborough,MA,15.93,2026,2/19/2026,
Westfield,MA,14.93,2026,2/19/2026,
Westford,MA,13.11,2026,2/19/2026,
Westhampton,MA,20.35,2026,2/19/2026,
Westminster,MA,11.73,2026,2/19/2026,
Weston,MA,10.88,2026,2/19/2026,
Westport,MA,7.28,2026,2/19/2026,
Westwood,MA,12.87,2026,2/19/2026,
Weymouth,MA,10.12,2026,2/19/2026,
Whately,MA,13.07,2026,2/19/2026,
Whitman,MA,13.29,2026,2/19/2026,
Wilbraham,MA,17.45,2026,2/19/2026,
Williamsburg,MA,16.01,2026,2/19/2026,
Williamstown,MA,14.2,2026,2/19/2026,
Wilmington,MA,11.41,2026,2/19/2026,
Winchendon,MA,12.69,2026,2/19/2026,
Winchester,MA,11.08,2026,2/19/2026,
Windsor,MA,9.43,2026,2/19/2026,
Winthrop,MA,11.14,2026,2/19/2026,
Woburn,MA,9.15,2026,2/19/2026,
Worcester,MA,13.28,2026,2/19/2026,
Worthington,MA,13.93,2026,2/19/2026,
Wrentham,MA,11.67,2026,2/19/2026,
Yarmouth,MA,6.97,2026,2/19/2026,
Devens,MA,12.55,2026,2/19/2026,
Acworth,NH,16.06,2025,12/31/2025,
Allenstown,NH,24.88,2025,12/31/2025,
Antrim,NH,23.11,2025,12/31/2025,
Atkinson,NH,12.82,2025,12/31/2025,
Auburn,NH,13.88,2025,12/31/2025,
Barnstead,NH,17.15,2025,12/31/2025,
Bath,NH,23.51,2025,12/31/2025,
Bedford,NH,16.49,2025,12/31/2025,
Belmont,NH,17.39,2025,12/31/2025,
Bennington,NH,20.67,2025,12/31/2025,
Benton,NH,8.55,2025,12/31/2025,
Bow,NH,20.05,2025,12/31/2025,
Bradford,NH,16.89,2025,12/31/2025,
Canaan,NH,31.16,2025,12/31/2025,
Charlestown,NH,36.54,2025,12/31/2025,
Chester,NH,16.9,2025,12/31/2025,
Clarksville,NH,17.85,2025,12/31/2025,
Cornish,NH,17.3,2025,12/31/2025,
Danville,NH,22.84,2025,12/31/2025,
Deerfield,NH,15.54,2025,12/31/2025,
Dorchester,NH,16.11,2025,12/31/2025,
Dublin,NH,17.62,2025,12/31/2025,
Dunbarton,NH,16.34,2025,12/31/2025,
Epping,NH,15,2025,12/31/2025,
Epsom,NH,17.54,2025,12/31/2025,
Exeter,NH,18.76,2025,12/31/2025,
Francestown,NH,15.6,2025,12/31/2025,
Freedom,NH,7.39,2025,12/31/2025,
Fremont,NH,16.95,2025,12/31/2025,
Gilford,NH,11.85,2025,12/31/2025,
