Town,Crime_Score,Crime_Rate_Per_1000,Total_Crime_Weight,Population,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,High_Severity_Per_1000,Medium_Severity_Per_1000,Low_Severity_Per_1000,High_Severity_Count,Medium_Severity_Count,Low_Severity_Count
Groveland,95.4,3.2121477587969043,22,6849,95.1,100.0,95.1,0.2920134326179004,0.0,1.7520805957074026,2.0,0.0,12.0
Hadley,25.4,52.23315669947009,276,5284,52.7,52.7,16.1,2.838758516275549,2.838758516275549,29.523088569265706,15.0,15.0,156.0
Halifax,81.3,13.100436681222707,102,7786,87.2,89.3,79.7,0.7706139224248651,0.6421782686873876,7.320832263036219,6.0,5.0,57.0
Hamilton,86.8,9.256844850065189,71,7670,89.1,95.7,85.5,0.651890482398957,0.2607561929595828,5.215123859191656,5.0,2.0,40.0
Hampden,85.9,9.871071716357775,49,4964,89.9,86.6,87.7,0.6043513295729251,0.8058017727639001,4.43190975020145,3.0,4.0,22.0
Hanover,72.7,19.14421978907772,285,14887,84.3,77.6,71.1,0.940417814200309,1.3434540202861558,10.411768657217708,14.0,20.0,155.0
Hanson,78.1,15.29993469540069,164,10719,81.3,81.3,82.4,1.119507416736636,1.119507416736636,6.343875361507603,12.0,12.0,68.0
Hardwick,65.9,23.879500367376927,65,2722,57.1,69.4,84.7,2.571638501102131,1.836884643644379,5.510653930933138,7.0,5.0,15.0
Harvard,91.2,6.139348943460879,43,7004,95.2,92.9,90.5,0.2855511136493432,0.42832667047401485,3.426613363792119,2.0,3.0,24.0
Harwich,75.2,17.327459618208515,236,13620,82.9,79.2,76.5,1.0279001468428781,1.248164464023495,8.443465491923641,14.0,17.0,115.0
Hatfield,89.2,7.527853056308341,25,3321,90.0,95.0,90.0,0.6022282445046673,0.30111412225233364,3.6133694670280034,2.0,1.0,12.0
Haverhill,32.2,47.444026299219516,3240,68291,35.8,65.1,38.5,3.851166332313189,2.0939801730828367,21.90625411840506,263.0,143.0,1496.0
Hingham,74.1,18.104366347177848,442,24414,79.5,77.5,78.0,1.228803145736053,1.3516834603096584,7.905300237568608,30.0,33.0,193.0
Hinsdale,91.7,5.82010582010582,11,1890,100.0,91.2,88.2,0.0,0.5291005291005292,4.2328042328042335,0.0,1.0,8.0
Holbrook,25.4,52.20043572984749,599,11475,41.9,33.0,39.1,3.4858387799564268,4.357298474945535,21.69934640522876,40.0,50.0,249.0
Holden,85.7,9.987208501426744,203,20326,90.2,86.1,87.4,0.5903768572271967,0.8363672144051952,4.5262225720751745,12.0,17.0,92.0
Holland,85.6,10.073614877954283,26,2581,87.1,80.6,92.5,0.7748934521503293,1.162340178225494,2.7121270825261523,2.0,3.0,7.0
Holliston,89.4,7.428161855737278,114,15347,94.6,88.1,89.9,0.325796572620056,0.7167524597641233,3.6489216133446276,5.0,11.0,56.0
Holyoke,0.0,164.91357894180453,6240,37838,0.0,0.0,0.0,10.095671018552778,13.79565516147788,73.04825836460701,382.0,522.0,2764.0
Hopedale,80.2,13.854527461652648,84,6063,83.5,83.5,83.5,0.9896091044037606,0.9896091044037606,5.937654626422563,6.0,6.0,36.0
Hopkinton,85.4,10.21481147664113,204,19971,85.8,90.8,88.0,0.8512342897200942,0.5507986580541786,4.306244053878123,17.0,11.0,86.0
Hubbardston,76.2,16.69298443491992,74,4433,88.7,73.7,76.2,0.6767426122264832,1.5790660951951274,8.57207308820212,3.0,7.0,38.0
