Town,Crime_Score,Crime_Rate_Per_1000,Total_Crime_Weight,Population,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,High_Severity_Per_1000,Medium_Severity_Per_1000,Low_Severity_Per_1000,High_Severity_Count,Medium_Severity_Count,Low_Severity_Count
Townsend,69.7,3.036876355748373,28.0,9220,72.4,58.2,60.9,0.10845986984815617,0.5422993492407809,0.8676789587852494,1.0,5.0,8.0
Truro,34.9,6.4412238325281805,16.0,2484,90.6,15.1,33.4,0.0,1.6103059581320451,1.6103059581320451,0.0,4.0,4.0
Tyngsborough,82.9,2.112841380389702,27.0,12779,62.2,75.7,85.2,0.1565067689177557,0.3130135378355114,0.3912669222943892,2.0,4.0,5.0
Upton,75.7,2.47787610619469,21.0,8475,69.7,83.6,50.3,0.11799410029498526,0.23598820058997053,1.1799410029498525,1.0,2.0,10.0
Uxbridge,85.2,1.9723865877712032,29.0,14703,78.6,90.5,38.8,0.0680133306128001,0.0680133306128001,1.4282799428688022,1.0,1.0,21.0
Wakefield,65.1,3.38855421686747,99.0,29216,43.8,67.1,73.7,0.3080503833515882,0.4107338444687842,0.6161007667031764,9.0,12.0,18.0
Walpole,77.6,2.387177446856883,63.0,26391,58.6,76.3,77.3,0.18945852752832404,0.30313364404531845,0.5304838770793073,5.0,8.0,14.0
Waltham,16.4,10.159607587055232,669.0,65849,14.8,15.5,48.7,0.8200580115111847,1.6097435040775108,1.2300870172667768,54.0,106.0,81.0
Ware,9.5,13.015184381778742,132.0,10142,2.3,39.1,22.0,1.6761979885624136,0.8873989351212779,1.9719976336028395,17.0,9.0,20.0
Wareham,7.9,13.942021593131003,328.0,23526,11.5,9.2,9.9,0.9351355946612259,2.0828020062909123,3.017937600952138,22.0,49.0,71.0
Warren,31.2,6.881635863153756,35.0,5086,33.6,34.9,23.0,0.39323633503735744,0.9830908375933936,1.966181675186787,2.0,5.0,10.0
Warwick,99.0,0.0,0.0,774,90.6,95.4,97.7,0.0,0.0,0.0,0.0,0.0,0.0
Watertown,27.3,7.336390162567737,264.0,35985,29.3,25.0,42.4,0.44462970682228703,1.2505210504376822,1.3616784771432542,16.0,45.0,49.0
